SiteCode,SiteName,SiteType,DateOpened,Lat,Lon
HB014,Borehamwood Bowling Club,URBAN BACKGROUND,2017-05-24,51.661283,-0.270633
NEW2,Cam Road,ROADSIDE,2000-10-06,51.537598,-0.002138
KC4,Chelsea,ROADSIDE,2000-09-27,51.487437,-0.168397
KC2,Cromwell Road,ROADSIDE,1998-05-10,51.495504,-0.178809
KC5,Earls Court Road,ROADSIDE,2002-05-01,51.490198,-0.190863
T55,Heathrow Green Gates,AIRPORT,2001-05-04,51.481478,-0.486675
LHR2,Heathrow LHR2,AIRPORT,1993-01-01,51.479167,-0.440556
T54,Heathrow Oaks Road,AIRPORT,2001-05-04,51.459444,-0.479444
HB009,Hertsmere Borehamwood Roadside,URBAN,2014-09-09,51.659803,-0.261916
HI1,Hillingdon 1 - South Ruislip,ROADSIDE,1999-09-21,51.55226,-0.40278
HI2,Hillingdon 2 - Hillingdon Hospital,URBAN CENTRE,2002-09-25,51.52611,-0.45913
SIPS,Hillingdon Sipson,URBAN BACKGROUND,2006-09-08,51.484384,-0.455695
HS5,Hounslow Brentford,ROADSIDE,2003-06-02,51.489398,-0.310081
HS4,Hounslow Chiswick,URBAN BACKGROUND,1999-08-26,51.492507,-0.257252
HS2,Hounslow Cranford,SUBURBAN,1999-01-02,51.482982,-0.411895
HS9,Hounslow Feltham,URBAN BACKGROUND,2009-08-19,51.447388,-0.408733
HS8,Hounslow Gunnersbury,ROADSIDE,2003-01-01,51.500676,-0.284383
HS7,Hounslow Hatton Cross,URBAN BACKGROUND,2006-01-01,51.463402,-0.427525
HS6,Hounslow Heston,ROADSIDE,2006-04-13,51.479129,-0.36476
HS1,Hounslow Roadside,ROADSIDE,1993-09-01,51.48965,-0.308975
KC3,Knightsbridge,ROADSIDE,2000-03-28,51.49914,-0.164338
BN2,London Barnet Chalgrove School,URBAN BACKGROUND,2000-08-09,51.591901,-0.205992
HIL1,London Hillingdon Harmondsworth,URBAN BACKGROUND,2007-07-01,51.487989,-0.480984
HIL4,London Hillingdon Harmondsworth Os,URBAN BACKGROUND,2007-07-01,51.487534,-0.479451
HIL5,London Hillingdon Hayes,ROADSIDE,2008-04-21,51.498167,-0.412333
HI3,London Hillingdon Oxford Avenue,URBAN CENTRE,2005-03-07,51.48113,-0.42376
HF4,Shepherd's Bush,ROADSIDE,2011-10-31,51.504563,-0.22467
SLH3,Slough Colnbrook,URBAN BACKGROUND,2000-10-19,51.480372,-0.508729
SLH6,Slough Colnbrook Osiris,URBAN BACKGROUND,2005-01-17,51.480372,-0.508729
SBC01,Spelthorne Sunbury Cross,URBAN BACKGROUND,2017-01-10,51.42025,-0.418515
BN1,Tally Ho,KERBSIDE,1998-12-20,51.614675,-0.176607
NEW1,Tant Avenue,URBAN BACKGROUND,1998-06-14,51.514764,0.011989
TH004,Tower Hamlets - Blackwall,ROADSIDE,2006-09-08,51.515046,-0.008418
TH001,Tower Hamlets - Millwall Park,URBAN BACKGROUND,2015-07-06,51.489134,-0.012977
TH002,Tower Hamlets - Victoria Park,URBAN BACKGROUND,2012-07-25,51.540519,-0.033307
WL4,Waltham Crooked Billet,KERBSIDE,2008-01-01,51.601728,-0.016442
WL1,Waltham Forest Dawlish Rd,URBAN BACKGROUND,1998-07-05,51.562376,-0.004898
WL5,Waltham Forest Leyton,URBAN BACKGROUND,2008-01-01,51.556239,-0.013628
HB004,Watford Town Hall,URBAN,1997-04-29,51.6592,-0.402863
NEW3,Wren Close,URBAN BACKGROUND,2003-03-14,51.514727,0.014554
